affy_id	gene
A.1007_s_at	DDR1
A.1053_at	RFC2
A.117_at	HSPA6
A.121_at	PAX8
A.1255_g_at	GUCA1A
A.1294_at	UBE1L
A.1316_at	THRA
A.1320_at	PTPN21
A.1405_i_at	CCL5
A.1431_at	CYP2E1
A.1438_at	EPHB3
A.1487_at	ESRRA
A.1494_f_at	CYP2A6
A.1598_g_at	GAS6
A.160020_at	MMP14
A.1729_at	TRADD
A.177_at	FNTB
A.1773_at	PLD1
A.179_at	PMS2L11
A.1861_at	BAD
A.200000_s_at	PRPF8
A.200001_at	CAPNS1
A.200002_at	RPL35
A.200003_s_at	RPL28
A.200004_at	EIF4G2
A.200005_at	EIF3S7
A.200006_at	PARK7
A.200007_at	SRP14
A.200008_s_at	GDI2
A.200009_at	GDI2
A.200010_at	RPL11
A.200011_s_at	ARF3
A.200012_x_at	RPL21
A.200013_at	RPL24
A.200014_s_at	HNRPC
A.200015_s_at	2-Sep
A.200016_x_at	HNRPA1
A.200017_at	RPS27A
A.200018_at	RPS13
A.200019_s_at	FAU
A.200020_at	TARDBP
A.200021_at	CFL1
A.200022_at	RPL18
A.200023_s_at	EIF3S5
A.200024_at	RPS5
A.200025_s_at	RPL27
A.200026_at	RPL34
A.200027_at	NARS
A.200028_s_at	STARD7
A.200029_at	RPL19
A.200030_s_at	SLC25A3
A.200031_s_at	RPS11
A.200032_s_at	RPL9
A.200033_at	DDX5
A.200034_s_at	RPL6
A.200035_at	DULLARD
A.200036_s_at	RPL10A
A.200037_s_at	CBX3
A.200038_s_at	RPL17
A.200039_s_at	PSMB2
A.200040_at	KHDRBS1
A.200041_s_at	BAT1
A.200042_at	C22orf28
A.200043_at	ERH
A.200044_at	SFRS9
A.200045_at	ABCF1
A.200046_at	DAD1
A.200047_s_at	YY1
A.200048_s_at	JTB
A.200049_at	MYST2
A.200050_at	ZNF146
A.200051_at	SART1
A.200052_s_at	ILF2
A.200053_at	SPAG7
A.200054_at	ZNF259
A.200055_at	TAF10
A.200056_s_at	C1D
A.200057_s_at	NONO
A.200058_s_at	ASCC3L1
A.200059_s_at	RHOA
A.200060_s_at	RNPS1
A.200061_s_at	RPS24
A.200062_s_at	RPL30
A.200063_s_at	NPM1
A.200064_at	HSP90AB1
A.200065_s_at	ARF1
A.200066_at	IK
A.200067_x_at	SNX3
A.200068_s_at	CANX
A.200069_at	SART3
A.200070_at	C2orf24
A.200071_at	SMNDC1
A.200072_s_at	HNRPM
A.200073_s_at	HNRPD
A.200074_s_at	RPL14
A.200075_s_at	GUK1
A.200076_s_at	C19orf50
A.200077_s_at	OAZ1
A.200078_s_at	ATP6V0B
A.200079_s_at	KARS
A.200080_s_at	H3F3A
A.200081_s_at	RPS6
A.200082_s_at	RPS7
A.200083_at	USP22
A.200084_at	C11orf58
A.200085_s_at	TCEB2
A.200086_s_at	COX4I1
A.200087_s_at	TMED2
A.200088_x_at	RPL12
A.200089_s_at	RPL4
A.200090_at	FNTA
A.200091_s_at	RPS25
A.200092_s_at	RPL37
A.200093_s_at	HINT1
A.200094_s_at	EEF2
A.200095_x_at	--
A.200096_s_at	ATP6V0E1
A.200097_s_at	HNRPK
A.200098_s_at	ANAPC5
A.200099_s_at	--
A.200593_s_at	HNRPU
A.200594_x_at	HNRPU
A.200595_s_at	EIF3S10
A.200596_s_at	EIF3S10
A.200597_at	EIF3S10
A.200598_s_at	HSP90B1
A.200599_s_at	HSP90B1
A.200600_at	MSN
A.200601_at	ACTN4
A.200602_at	APP
A.200603_at	PRKAR1A
A.200604_s_at	PRKAR1A
A.200605_s_at	PRKAR1A
A.200606_at	DSP
A.200607_s_at	RAD21
A.200608_s_at	RAD21
A.200609_s_at	WDR1
A.200610_s_at	NCL
A.200611_s_at	WDR1
A.200612_s_at	AP2B1
A.200613_at	AP2M1
A.200614_at	CLTC
A.200615_s_at	AP2B1
A.200616_s_at	KIAA0152
A.200617_at	KIAA0152
A.200618_at	LASP1
A.200619_at	SF3B2
A.200620_at	TMEM59
A.200621_at	CSRP1
A.200622_x_at	CALM3
A.200623_s_at	CALM3
A.200624_s_at	MATR3
A.200625_s_at	CAP1
A.200626_s_at	MATR3
A.200627_at	PTGES3
A.200628_s_at	WARS
A.200629_at	WARS
A.200630_x_at	SET
A.200631_s_at	SET
A.200632_s_at	NDRG1
A.200633_at	UBB
A.200634_at	PFN1
A.200635_s_at	PTPRF
A.200636_s_at	PTPRF
A.200637_s_at	PTPRF
A.200638_s_at	YWHAZ
A.200639_s_at	YWHAZ
A.200640_at	YWHAZ
A.200641_s_at	YWHAZ
A.200642_at	SOD1
A.200643_at	HDLBP
A.200644_at	MARCKSL1
A.200645_at	GABARAP
A.200646_s_at	NUCB1
A.200647_x_at	EIF3S8
A.200648_s_at	GLUL
A.200649_at	NUCB1
A.200650_s_at	LDHA
A.200651_at	GNB2L1
A.200652_at	SSR2
A.200653_s_at	CALM1
A.200654_at	P4HB
A.200655_s_at	CALM1
A.200656_s_at	P4HB
A.200657_at	SLC25A5
A.200658_s_at	PHB
A.200659_s_at	PHB
A.200660_at	S100A11
A.200661_at	CTSA
A.200662_s_at	TOMM20
A.200663_at	CD63
A.200664_s_at	DNAJB1
A.200665_s_at	SPARC
A.200666_s_at	DNAJB1
A.200667_at	UBE2D3
A.200668_s_at	UBE2D3
A.200669_s_at	UBE2D3
A.200670_at	XBP1
A.200671_s_at	SPTBN1
A.200672_x_at	SPTBN1
A.200673_at	LAPTM4A
A.200674_s_at	RPL32
A.200675_at	CD81
A.200676_s_at	UBE2L3
A.200677_at	PTTG1IP
A.200678_x_at	GRN
A.200679_x_at	HMGB1
A.200680_x_at	HMGB1
A.200681_at	GLO1
A.200682_s_at	UBE2L3
A.200683_s_at	UBE2L3
A.200684_s_at	UBE2L3
A.200685_at	SFRS11
A.200686_s_at	SFRS11
A.200687_s_at	SF3B3
A.200688_at	SF3B3
A.200689_x_at	EEF1G
A.200690_at	HSPA9
A.200691_s_at	HSPA9
A.200692_s_at	HSPA9
A.200693_at	YWHAQ
A.200694_s_at	DDX24
A.200695_at	PPP2R1A
A.200696_s_at	GSN
A.200697_at	HK1
A.200698_at	KDELR2
A.200699_at	--
A.200700_s_at	KDELR2
A.200701_at	NPC2
A.200702_s_at	DDX24
A.200703_at	DYNLL1
A.200704_at	LITAF
A.200705_s_at	EEF1B2
A.200706_s_at	LITAF
A.200707_at	PRKCSH
A.200708_at	GOT2
A.200709_at	FKBP1A
A.200710_at	ACADVL
A.200711_s_at	SKP1A
A.200712_s_at	MAPRE1
A.200713_s_at	MAPRE1
A.200714_x_at	OS9
A.200715_x_at	RPL13A
A.200716_x_at	RPL13A
A.200717_x_at	RPL7
A.200718_s_at	SKP1A
A.200719_at	SKP1A
A.200720_s_at	ACTR1A
A.200721_s_at	ACTR1A
A.200722_s_at	CAPRIN1
A.200723_s_at	CAPRIN1
A.200724_at	RPL10
A.200725_x_at	RPL10
A.200726_at	PPP1CC
A.200727_s_at	ACTR2
A.200728_at	ACTR2
A.200729_s_at	ACTR2
A.200730_s_at	PTP4A1
A.200731_s_at	PTP4A1
A.200732_s_at	PTP4A1
A.200733_s_at	PTP4A1
A.200734_s_at	ARF3
A.200735_x_at	NACA
A.200736_s_at	GPX1
